id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4hyVrAsoKKjxAvQjPRt0ai,Love Your Voice,Список твоих мыслей,168800,7,6706047258661489414,71,0.608,0.83,9,-5.396,0,0.0956,0.597,3.4e-06,0.118,0.211,91.088,audio_features,spotify:track:4hyVrAsoKKjxAvQjPRt0ai,https://api.spotify.com/v1/tracks/4hyVrAsoKKjxAvQjPRt0ai,https://api.spotify.com/v1/audio-analysis/4hyVrAsoKKjxAvQjPRt0ai,150330,4
6n6hEYHXBzWfdSzBX20ZRw,Tadap,Tadap,43300,3,6703166805348714498,48,0.468,0.462,2,-10.661,1,0.127,0.514,4.14e-06,0.162,0.161,160.307,audio_features,spotify:track:6n6hEYHXBzWfdSzBX20ZRw,https://api.spotify.com/v1/tracks/6n6hEYHXBzWfdSzBX20ZRw,https://api.spotify.com/v1/audio-analysis/6n6hEYHXBzWfdSzBX20ZRw,397773,3
4NeOWqHmlrGRuBvsLJC9rL,My Love,,33700,1,6650279812579461889,72,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,audio_features,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,https://api.spotify.com/v1/tracks/4NeOWqHmlrGRuBvsLJC9rL,https://api.spotify.com/v1/audio-analysis/4NeOWqHmlrGRuBvsLJC9rL,276160,4
67awxiNHNyjMXhVgsHuIrs,Turn Down for What	,,55300000,6,6745373264563929090,72,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,audio_features,spotify:track:67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,213733,4
2pXtqBc566zNPW4KoKChoq,Life Is Strife,Life Is Strife,812100,7,6981515329373472769,43,0.764,0.644,10,-6.031,0,0.392,0.0696,0,0.0656,0.836,134.909,audio_features,spotify:track:2pXtqBc566zNPW4KoKChoq,https://api.spotify.com/v1/tracks/2pXtqBc566zNPW4KoKChoq,https://api.spotify.com/v1/audio-analysis/2pXtqBc566zNPW4KoKChoq,108255,4
3yZNFH4XzRBfeKqYCCVgnU,Sleigh Ride,A Swinging Christmas With Ella Fitzgerald,4200000,2,6791407646906779649,0,0.656,0.812,6,-5.474,0,0.0417,0.208,0,0.118,0.725,97.019,audio_features,spotify:track:3yZNFH4XzRBfeKqYCCVgnU,https://api.spotify.com/v1/tracks/3yZNFH4XzRBfeKqYCCVgnU,https://api.spotify.com/v1/audio-analysis/3yZNFH4XzRBfeKqYCCVgnU,153076,4
0hroItlFoM9gjgUmDGZALa,Dola Nje Dite Nga Mali,Dola Nje Dite Nga Mali,72500,4,6788217500514387970,14,0.676,0.611,0,-7.994,0,0.0491,0.602,0,0.297,0.909,132.051,audio_features,spotify:track:0hroItlFoM9gjgUmDGZALa,https://api.spotify.com/v1/tracks/0hroItlFoM9gjgUmDGZALa,https://api.spotify.com/v1/audio-analysis/0hroItlFoM9gjgUmDGZALa,192535,4
7oT7fPB2lxLBmzPM7fYNsa,The Lost Stray Dog ,,670100,37,6662607188382452481,5,0.613,0.609,1,-10.174,1,0.051,0.108,2.5e-05,0.153,0.818,188.809,audio_features,spotify:track:7oT7fPB2lxLBmzPM7fYNsa,https://api.spotify.com/v1/tracks/7oT7fPB2lxLBmzPM7fYNsa,https://api.spotify.com/v1/audio-analysis/7oT7fPB2lxLBmzPM7fYNsa,192400,4
0YI9WT21ulMINpGPysyv1K,Gospel - Super Smash Bros: Brawl Drill Remix,Gospel - Super Smash Bros: Brawl Drill Remix,7900000,8,6980439068635039745,58,0.646,0.557,2,-5.319,1,0.196,0.0182,0.359,0.359,0.515,143.126,audio_features,spotify:track:0YI9WT21ulMINpGPysyv1K,https://api.spotify.com/v1/tracks/0YI9WT21ulMINpGPysyv1K,https://api.spotify.com/v1/audio-analysis/0YI9WT21ulMINpGPysyv1K,192067,4
2rQ1HdCrqFzI3ZeqaP9XKM,ALL INNA DAY,,21400000,4,6769025887162599425,45,0.698,0.615,7,-13.06,1,0.159,0.4,0.346,0.201,0.619,89.973,audio_features,spotify:track:2rQ1HdCrqFzI3ZeqaP9XKM,https://api.spotify.com/v1/tracks/2rQ1HdCrqFzI3ZeqaP9XKM,https://api.spotify.com/v1/audio-analysis/2rQ1HdCrqFzI3ZeqaP9XKM,67040,4
5kn2FMZoBVClbA9CV7w3k5,Chemical,Chemical,5200000,1,6961801400514791426,62,0.635,0.93,2,-2.061,1,0.0583,0.000241,0.775,0.0918,0.0688,73.981,audio_features,spotify:track:5kn2FMZoBVClbA9CV7w3k5,https://api.spotify.com/v1/tracks/5kn2FMZoBVClbA9CV7w3k5,https://api.spotify.com/v1/audio-analysis/5kn2FMZoBVClbA9CV7w3k5,142703,4
0DJSxaA7mYjpyuI19uClRq,I love Poland（remix）,,12000000,2,6658867774988749569,45,0.748,0.968,10,-2.383,0,0.0429,0.00368,0.00467,0.0892,0.65,131.037,audio_features,spotify:track:0DJSxaA7mYjpyuI19uClRq,https://api.spotify.com/v1/tracks/0DJSxaA7mYjpyuI19uClRq,https://api.spotify.com/v1/audio-analysis/0DJSxaA7mYjpyuI19uClRq,179542,4
7gAksF3o6XoMUG2cPdmkF6,Zoom,Zoom,189200,25,7002553839479949313,50,0.466,0.746,7,-5.329,1,0.0563,0.000168,0.000212,0.353,0.538,122.702,audio_features,spotify:track:7gAksF3o6XoMUG2cPdmkF6,https://api.spotify.com/v1/tracks/7gAksF3o6XoMUG2cPdmkF6,https://api.spotify.com/v1/audio-analysis/7gAksF3o6XoMUG2cPdmkF6,240667,4
